Version     :: 0.0.9.8
DateTime    :: 11/6/2023 08:27:49 AM
RegExType   :: Evade :: Block You
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) (?<type>block)[s]? (?<source>.*)'s .*[\.!]
(08:28:51) Tons OfHp blocks xReaLx's attack.
(08:28:51) Ninja blocks Tupac Shakur's attack.
(08:28:51) You block POOPCUMPISS's attack!
(08:28:51) You block POOPCUMPISS's attack!
(08:28:51) You block BlackSele's attack!
(08:28:51) Tons OfHp blocks ChopSuey's attack.
(08:28:51) Beerbaron blocks Salamar's attack.
(08:28:51) Tons OfHp blocks xReaLx's attack.
(08:28:51) Tons OfHp blocks xReaLx's attack.
(08:28:51) Ninja blocks Tupac Shakur's attack.
(08:28:51) Tons OfHp blocks chs's attack.
(08:28:51) You block POOPCUMPISS's attack!
(08:28:51) You block DADDY's attack!
(08:28:51) Tons OfHp blocks ChopSuey's attack.
(08:28:51) Tons OfHp blocks ChopSuey's attack.
(08:28:52) Tons OfHp blocks xReaLx's attack.
(08:28:52) You block POOPCUMPISS's attack!
(08:28:52) Tons OfHp blocks ChopSuey's attack.
(08:28:52) Tons OfHp blocks xReaLx's attack.
(08:28:52) Ninja blocks Tupac Shakur's attack.
(08:28:52) Ninja blocks Tupac Shakur's attack.
(08:28:52) You block POOPCUMPISS's attack!
(08:28:52) You block POOPCUMPISS's attack!
(08:28:52) You block DADDY's attack!
(08:28:52) Trashcans blocks pippo's attack.
(08:28:52) You block Priest's attack!
(08:28:52) You block Priest's attack!
(08:28:52) You block Priest's attack!
(08:28:52) Ninja blocks Tupac Shakur's attack.
(08:28:52) Ninja blocks Tupac Shakur's attack.
(08:28:52) Tons OfHp blocks ChopSuey's attack.
(08:28:52) You block DADDY's attack!
(08:28:52) You block POOPCUMPISS's attack!
(08:28:52) You block POOPCUMPISS's attack!
(08:28:52) You block POOPCUMPISS's attack!
(08:28:52) You block ChopSuey's attack!
(08:28:52) Tons OfHp blocks chs's attack.
(08:28:52) You block DADDY's attack!
(08:28:52) Tons OfHp blocks xReaLx's attack.
(08:28:52) Tons OfHp blocks xReaLx's attack.
(08:28:52) Trashcans blocks typeW's attack.
(08:28:52) Tons OfHp blocks xReaLx's attack.
(08:28:52) Ninja blocks Tupac Shakur's attack.
(08:28:53) Tons OfHp blocks chs's attack.
(08:28:53) You block Priest's attack!
(08:28:53) Ninja blocks Tupac Shakur's attack.
(08:28:53) Trashcans blocks Ninja's attack.
(08:28:53) You block Priest's attack!
(08:28:53) You block Priest's attack!
(08:28:53) Trashcans blocks Jaz's attack.
(08:28:53) Tons OfHp blocks chs's attack.
(08:28:53) Ninja blocks Tupac Shakur's attack.
(08:28:53) Ninja blocks Tupac Shakur's attack.
(08:28:53) Beerbaron blocks Rokaw's attack.
(08:28:53) Eihortetung blocks xReaLx's attack.
(08:28:53) Eihortetung blocks xReaLx's attack.
(08:28:54) Ninja blocks Tupac Shakur's attack.
(08:28:54) Tons OfHp blocks chs's attack.
(08:28:54) Tons OfHp blocks chs's attack.
(08:28:54) Eihortetung blocks xReaLx's attack.
(08:28:54) Ninja blocks Tupac Shakur's attack.
(08:28:54) Ninja blocks Tupac Shakur's attack.
(08:28:54) Trashcans blocks Jaz's attack.
(08:28:54) Kansus blocks POOPCUMPISS's attack.
(08:28:54) Kansus blocks POOPCUMPISS's attack.
(08:28:54) Eihortetung blocks xReaLx's attack.
(08:28:54) Kansus blocks POOPCUMPISS's attack.
(08:28:54) Eihortetung blocks xReaLx's attack.
(08:28:54) Eihortetung blocks xReaLx's attack.
