Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Call the Sky's Fury
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*)[r']?[s]? (?<ability>Call the Sky.*) (?<type>.{3,8})s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:43:19 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:20 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:20 : shock      : Dispel's                  : KSlater                   : Call the Sky's Fury       :              :              : 190   
01:43:20 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:20 : shock      : HuntyPet's                : KSlater                   : Call the Sky's Fury       :              :              : 220   
01:43:20 : shock      : Dispel's                  : KSlater                   : Call the Sky's Fury       :              :              : 529   
01:43:20 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 221   
01:43:20 : shock      : HuntyPet's                : KSlater                   : Call the Sky's Fury       :              :              : 426   
01:43:20 : shock      : Dispel's                  : KSlater                   : Call the Sky's Fury       :              :              : 337   
01:43:20 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 139   
01:43:21 : shock      : HuntyPet's                : wreck                     : Call the Sky's Fury       :              :              : 203   
01:43:21 : shock      : Your                      : wreck                     : Call the Sky's Fury       :              :              : 264   
01:43:21 : shock      : HuntyPet's                : wreck                     : Call the Sky's Fury       :              :              : 271   
01:43:21 : shock      : HuntyPet's                : wreck                     : Call the Sky's Fury       :              :              : 462   
01:43:21 : shock      : Your                      : wreck                     : Call the Sky's Fury       :              :              : 470   
01:43:21 : shock      : Your                      : wreck                     : Call the Sky's Fury       :              :              : 468   
01:43:22 : shock      : Dispel's                  : kwx                       : Call the Sky's Fury       :              :              : 777   
01:43:23 : shock      : Your                      : Andre                     : Call the Sky's Fury       :              :              : 449   
01:43:23 : shock      : Dispel's                  : Andre                     : Call the Sky's Fury       :              :              : 766   
01:43:30 : shock      : Dispel's                  : syszj                     : Call the Sky's Fury       :              :              : 959   
01:43:30 : shock      : HuntyPet's                : syszj                     : Call the Sky's Fury       :              :              : 777   
01:43:30 : shock      : Dispel's                  : syszj                     : Call the Sky's Fury       :              :              : 1050  
01:43:31 : shock      : HuntyPet's                : MDAZJ                     : Call the Sky's Fury       :              :              : 819   
01:43:31 : shock      : Dispel's                  : MDAZJ                     : Call the Sky's Fury       :              :              : 1077  
01:43:31 : shock      : HuntyPet's                : MDAZJ                     : Call the Sky's Fury       :              :              : 817   
01:43:31 : shock      : Dispel's                  : MDAZJ                     : Call the Sky's Fury       :              :              : 1063  
01:43:32 : shock      : HuntyPet's                : MDAZJ                     : Call the Sky's Fury       :              :              : 1087  
01:43:33 : shock      : HuntyPet's                : FYasz                     : Call the Sky's Fury       :              :              : 1028  
01:43:33 : shock      : Dispel's                  : FYasz                     : Call the Sky's Fury       :              :              : 799   
01:43:34 : shock      : Dispel's                  : FYasz                     : Call the Sky's Fury       :              :              : 814   
01:43:34 : shock      : Dispel's                  : SPF                       : Call the Sky's Fury       :              :              : 545   
01:44:31 : shock      : XJY's                     : you                       : Call the Sky's Fury       :              :              : 973   
01:44:31 : shock      : XJY's                     : you                       : Call the Sky's Fury       :              :              : 504   
