Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Evade :: Block You
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) (?<type>block)[s]? (?<source>.*)'s .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:16:21 : block      : HuntyPet Cobra            : dwh dw BH                 :                           :              :              :       
16:16:22 : block      : hao BH                    : Sax                       :                           :              :              :       
16:16:23 : block      : Dispel Cobra              : TOKR �  BH               :                           :              :              :       
16:16:23 : block      : lover                     : TOKR �  BH               :                           :              :              :       
16:16:24 : block      : lover                     : TOKR �  BH               :                           :              :              :       
16:16:24 : block      : lover                     : FYasz BH                  :                           :              :              :       
16:16:25 : block      : Sax                       : FYasz BH                  :                           :              :              :       
16:16:25 : block      : lover                     : FYasz BH                  :                           :              :              :       
16:16:25 : block      : lover                     : FYasz BH                  :                           :              :              :       
16:16:28 : block      : Dispel Cobra              : FYsz BH                   :                           :              :              :       
16:16:28 : block      : PBAOE                     : Ims �; BH                 :                           :              :              :       
16:16:28 : block      : hao BH                    : KERDC                     :                           :              :              :       
16:16:29 : block      : PBAOE                     : TPPB BH                   :                           :              :              :       
16:16:29 : block      : Dispel Cobra              : TPPB BH                   :                           :              :              :       
16:16:30 : block      : PBAOE                     : TPPB BH                   :                           :              :              :       
16:16:42 : block      : the Vashteera's Companion : Rue                       :                           :              :              :       
16:16:44 : block      : the Vashteera's Companion : Roka                      :                           :              :              :       
16:16:44 : block      : Diana                     : Roka                      :                           :              :              :       
16:16:44 : block      : Nitro Desi                : Roka                      :                           :              :              :       
16:16:44 : block      : Nitro Desi                : Roka                      :                           :              :              :       
16:16:45 : block      : iThallia                  : Roka                      :                           :              :              :       
16:16:45 : block      : Necromancer               : Roka                      :                           :              :              :       
16:16:45 : block      : DeathieCS                 : Rue                       :                           :              :              :       
16:16:46 : block      : Diana                     : Sax                       :                           :              :              :       
16:16:46 : block      : Ptress                    : Rue                       :                           :              :              :       
16:16:46 : block      : Necromancer               : Sax                       :                           :              :              :       
16:16:46 : block      : iThallia                  : Sax                       :                           :              :              :       
16:16:46 : block      : iThallia                  : Sax                       :                           :              :              :       
16:16:46 : block      : Diana                     : Sax                       :                           :              :              :       
16:16:46 : block      : the Vashteera's Companion : Sax                       :                           :              :              :       
16:16:46 : block      : Diana                     : Sax                       :                           :              :              :       
16:16:46 : block      : Necromancer               : Sax                       :                           :              :              :       
16:16:47 : block      : Ptress                    : Rue                       :                           :              :              :       
16:16:47 : block      : Ptress                    : Rue                       :                           :              :              :       
