Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Spell
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?)[r']{1}[s]* (?<ability>.*?) (?<type>\w{3,11}?)s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:42:19 : freeze     : lover                     : LogicNC                   : Shadow Bolt               :              :              : 48    
01:42:19 : strike     : Dispel                    : LogicNC                   : holy weapon               :              :              : 417   
01:42:19 : strike     : Yuckfou                   : Dispel                    : Unholy Blast              :              :              : 598   
01:42:19 : strike     : Bog                       : Sax                       : Unholy Blast              :              :              : 481   
01:42:19 : strike     : HuntyPet                  : LogicNC                   : holy weapon               :              :              : 398   
01:42:19 : poison     : Someone                   : Sax                       : Steal Breath              :              :              : 137   
01:42:19 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 401   
01:42:19 : burn       : Sniper                    : LogicNC                   : Incendiary Blast          :              :              : 73    
01:42:19 : burn       : Sniper                    : WoundedKnee               : Incendiary Blast          :              :              : 196   
01:42:19 : burn       : Sniper                    : Noodle                    : Incendiary Blast          :              :              : 246   
01:42:19 : burn       : Sniper                    : Bog                       : Incendiary Blast          :              :              : 525   
01:42:19 : burn       : Sniper                    : PvPP                      : Incendiary Blast          :              :              : 199   
01:42:19 : burn       : Sniper                    : Fatherjoe                 : Incendiary Blast          :              :              : 241   
01:42:19 : burn       : Sniper                    : Fkrah                     : Incendiary Blast          :              :              : 347   
01:42:19 : hurt       : PvPP                      : sudo                      : Sign of Sorthoth          :              :              : 195   
01:42:19 : strike     : Yuckfou                   : Dispel                    : Unholy Blast              :              :              : 434   
